Tamano,Algoritmo,Tipo Lista,Repeticiones,Promedio (s),Desviacion Std (s)
100,Bubble Sort,Aleatoria,5,0.00042983997846022246,7.776178803754625e-05
100,Bubble Sort,Invertida,5,0.0004124999977648258,0.00011254199392206265
100,QuickSort,Aleatoria,5,6.713998736813664e-05,9.07595821635215e-06
100,QuickSort,Invertida,5,4.264002200216055e-05,2.7978518290898545e-06
1000,Bubble Sort,Aleatoria,5,0.03214292000047862,0.0025747237496192396
1000,Bubble Sort,Invertida,5,0.03578184000216424,0.000902706234937957
1000,QuickSort,Aleatoria,5,0.0009094799985177815,5.124985981916617e-05
1000,QuickSort,Invertida,5,0.0005309999920427799,1.6585071403735824e-05
5000,Bubble Sort,Aleatoria,5,0.8257138199987821,0.035192559059820994
5000,Bubble Sort,Invertida,5,1.0816479199915192,0.05817269840312906
5000,QuickSort,Aleatoria,5,0.006889539991971105,0.000498752376521746
5000,QuickSort,Invertida,5,0.004146980016957969,0.0001015174414194459
10000,Bubble Sort,Aleatoria,5,3.4371195999789053,0.11106485482046582
10000,Bubble Sort,Invertida,5,4.7705715599935505,0.6159878525587998
10000,QuickSort,Aleatoria,5,0.01685239999787882,0.001000943234016692
10000,QuickSort,Invertida,5,0.010452419996727257,0.0006770080834393818
